name,country,region,winery,rating,number_of_ratings,price,since,origin_appellation
Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.00,12/02/2017,true
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.50,31/10/2017,true
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,04/05/2001,false
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,12/09/1999,true
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,23/11/2008,false
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.90,15/09/2017,false
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,10/12/2010,false
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,22/08/2013,false
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,31/12/2006,true
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.90,13/11/2001,true
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,12/01/2008,false
Descendant 2016,Australia,Barossa,Torbreck,4.3,100,140.64,08/09/2000,true
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,27/10/1999,false
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,9.26,16/08/2000,false
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,22/12/2007,true
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,6.50,22/06/2012,false
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,13/04/2018,false
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,41.58,12/07/2014,true
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,7.95,03/02/2006,true
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,12.90,06/03/2001,true
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,9.90,18/08/2011,false
Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.50,16/07/2001,false
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.70,24/03/2010,true
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,11/06/2012,false
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,25/03/2002,false
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.90,04/07/2001,true
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,08/09/2012,false
Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,15.90,02/04/1999,true
